# Australia Saturday Lotto — 25 most recent draws
# Source: https://www.lottoresult.io/au/saturday-lotto (cross-verified with magayo.com)
# Accessed: 2026-07-08 | Schedule: Sat (weekly) | Format: 6 main (1-45) + 2 supplementary (1-45)
# One draw per line: YYYY-MM-DD  N1 N2 N3 N4 N5 N6 | S1 S2
2026-08-01  3 11 15 30 32 42 | 38 43
2026-07-25  2 6 8 12 22 43 | 28 13
2026-07-18  5 7 13 24 30 41 | 33 23
2026-07-11  13 14 16 21 29 41 | 17 10
2026-07-04  4 8 15 32 43 44 | 22 23
2026-06-27  15 17 24 28 36 37 | 12 18
2026-06-20  3 6 9 14 21 22 | 38 20
2026-06-13  12 16 30 31 40 43 | 25 26
2026-06-06  10 25 30 31 43 44 | 4 38
2026-05-30  8 10 12 19 28 36 | 5 3
2026-05-23  11 19 20 28 31 40 | 39 1
2026-05-16  3 10 23 32 33 39 | 42 37
2026-05-09  2 11 12 17 33 37 | 36 41
2026-05-02  9 18 19 29 34 45 | 28 8
2026-04-25  3 11 12 14 17 45 | 32 21
2026-04-18  3 8 18 39 40 41 | 32 13
2026-04-11  8 11 15 32 33 44 | 35 41
2026-04-04  2 4 5 13 14 37 | 21 22
2026-03-28  1 2 3 25 29 30 | 17 15
2026-03-21  11 16 20 27 43 45 | 39 22
2026-03-14  14 21 27 34 36 40 | 5 33
2026-03-07  16 17 24 33 35 36 | 6 19
2026-02-28  7 13 21 31 35 44 | 30 34
2026-02-21  4 11 26 30 42 43 | 29 27
2026-02-14  3 6 7 12 14 22 | 43 20
