# Canada Lotto 6/49 — 25 most recent draws
# Source: https://www.lotto-8.com/canada/listltoCA649.asp (cross-referenced with https://www.calotteries.com/lotto-649/)
# Accessed: 2026-07-30 | Schedule: Wed/Sat | Format: 6 main (1-49) + 1 bonus (1-49) without replacement
# One draw per line: YYYY-MM-DD  N1 N2 N3 N4 N5 N6 | Bonus
2026-07-29  06 08 13 15 20 37 | 10
2026-07-25  01 08 09 24 36 37 | 25
2026-07-22  09 25 29 30 33 44 | 10
2026-07-18  15 27 29 33 46 49 | 21
2026-07-15  12 15 17 21 28 38 | 41
2026-07-11  05 10 11 33 34 41 | 25
2026-07-08  15 19 25 37 41 42 | 03
2026-07-04  04 05 27 29 38 47 | 35
2026-07-01  03 10 14 20 30 45 | 08
2026-06-27  14 22 27 29 37 46 | 20
2026-06-24  09 20 28 29 36 42 | 01
2026-06-20  09 15 26 27 35 42 | 17
2026-06-17  02 14 23 26 42 48 | 25
2026-06-13  01 05 09 17 36 46 | 12
2026-06-10  04 09 33 39 40 48 | 01
2026-06-06  09 27 30 33 45 47 | 20
2026-06-03  03 05 06 28 30 37 | 19
2026-05-30  04 06 10 21 33 39 | 32
2026-05-27  05 27 35 38 44 46 | 03
2026-05-23  03 16 27 30 36 42 | 01
2026-05-20  04 13 14 20 22 47 | 10
2026-05-16  05 34 36 41 44 45 | 10
2026-05-13  01 42 43 44 46 48 | 29
2026-05-09  13 15 21 28 34 40 | 45
2026-05-06  02 09 35 42 43 47 | 17
