# Eurojackpot — 25 most recent draws
# Source: jackpotgenius.ai draw history (cross-verified with gigilotto.com, statlotto.com, inspain.news, powerball.us.org)
# Accessed: 2026-07-25 | Schedule: Tue/Fri | Format: 5 main (1-50) + 2 Euro numbers (1-12)
# One draw per line: YYYY-MM-DD  N1 N2 N3 N4 N5 | E1 E2
2026-07-24  4 6 8 17 22 | 7 10
2026-07-21  4 8 10 17 37 | 5 7
2026-07-17  6 21 31 47 48 | 2 9
2026-07-14  5 6 17 34 36 | 3 11
2026-07-10  13 25 28 42 45 | 5 12
2026-07-07  6 16 24 41 46 | 2 3
2026-07-03  4 9 20 25 28 | 1 3
2026-06-30  12 19 34 44 50 | 3 8
2026-06-26  17 25 35 39 41 | 5 9
2026-06-23  24 27 43 48 50 | 4 12
2026-06-19  16 27 37 42 45 | 5 12
2026-06-16  9 26 29 37 42 | 1 7
2026-06-12  2 4 14 18 28 | 9 11
2026-06-09  1 14 22 39 48 | 8 11
2026-06-05  21 23 44 47 50 | 1 7
2026-06-02  2 36 38 40 46 | 7 8
2026-05-29  3 20 21 42 49 | 5 6
2026-05-26  5 11 23 33 42 | 10 12
2026-05-22  5 34 35 42 46 | 3 5
2026-05-19  10 36 37 39 47 | 5 6
2026-05-15  1 32 33 36 37 | 7 12
2026-05-12  7 15 19 28 35 | 3 11
2026-05-08  3 17 18 31 41 | 6 12
2026-05-05  1 30 33 34 43 | 5 10
2026-05-01  10 11 13 16 27 | 5 7
