# EuroMillions — 25 most recent draws
# Source: https://www.euro-millions.com/results-history-2026 (cross-verified with live results page)
# Accessed: 2026-07-31 | Schedule: Tue/Fri | Format: 5 main (1-50) + 2 Lucky Stars (1-12)
# One draw per line: YYYY-MM-DD  N1 N2 N3 N4 N5 | L1 L2
2026-07-31  10 24 25 31 45 | 4 5
2026-07-28  5 7 24 30 49 | 10 11
2026-07-24  8 10 30 36 47 | 1 4
2026-07-21  2 3 8 28 39 | 2 11
2026-07-17  12 21 23 34 40 | 9 10
2026-07-14  10 19 37 42 47 | 9 12
2026-07-10  2 14 28 33 48 | 8 10
2026-07-07  5 29 33 45 47 | 5 8
2026-07-03  2 12 17 25 39 | 1 2
2026-06-30  1 8 37 44 48 | 2 6
2026-06-26  6 16 26 34 35 | 11 12
2026-06-23  3 33 36 45 46 | 5 6
2026-06-19  8 34 39 41 42 | 2 7
2026-06-16  18 25 31 37 45 | 4 9
2026-06-12  4 7 14 22 23 | 1 7
2026-06-09  2 7 23 44 46 | 3 5
2026-06-05  5 6 16 17 49 | 2 12
2026-06-02  6 9 17 18 42 | 7 9
2026-05-29  5 14 18 31 35 | 2 12
2026-05-26  6 23 25 35 37 | 6 12
2026-05-22  6 22 26 31 37 | 5 8
2026-05-19  2 12 20 38 45 | 2 5
2026-05-15  3 10 38 41 43 | 2 9
2026-05-12  4 26 32 35 36 | 5 7
2026-05-08  2 17 19 34 37 | 8 11
