# Italy SuperEnalotto — 25 most recent draws
# Source: https://www.superenalotto.net/en/results (cross-verified with https://www.24lottos.com/lottery/superenalotto/results)
# Accessed: 2026-08-01 | Schedule: Tue/Thu/Fri/Sat (4x weekly) | Format: 6 main (1-90) + 1 Jolly (1-90)
# Note: SuperStar number excluded per format. Draws span ~6 weeks due to 4-draw/week cadence.
# One draw per line: YYYY-MM-DD  N1 N2 N3 N4 N5 N6 | J
2026-07-31  2 6 10 31 39 83 | 66
2026-07-30  20 47 75 76 78 89 | 9
2026-07-28  1 6 9 43 54 62 | 87
2026-07-25  18 19 33 34 61 85 | 15
2026-07-24  20 40 53 61 74 79 | 11
2026-07-23  2 12 22 34 70 74 | 41
2026-07-21  13 14 15 29 38 63 | 24
2026-07-18  1 28 52 62 79 86 | 61
2026-07-17  7 34 45 64 65 76 | 46
2026-07-16  1 15 21 46 52 67 | 41
2026-07-14  8 44 49 80 85 88 | 30
2026-07-11  6 7 10 47 49 61 | 5
2026-07-10  2 3 12 28 63 82 | 76
2026-07-09  9 17 20 31 40 79 | 58
2026-07-07  3 16 30 53 55 79 | 84
2026-07-04  2 37 55 62 72 76 | 34
2026-07-03  22 26 30 40 68 86 | 72
2026-07-02  4 17 19 23 47 59 | 51
2026-06-30  1 7 51 64 78 83 | 13
2026-06-27  15 19 36 47 85 90 | 42
2026-06-26  1 22 30 45 73 76 | 64
2026-06-25  25 27 54 72 73 76 | 31
2026-06-23  1 12 17 27 66 84 | 61
2026-06-20  14 59 69 71 82 89 | 47
2026-06-19  14 18 25 69 81 89 | 11
