# Philippine PCSO 6/49 Super Lotto — 20 most recent draws
# Source: https://www.lottopcso.com/6-49-lotto-result-history-and-summary/ (cross-referenced with https://lottobot.ai/lotto-6-49/history)
# Accessed: 2026-07-23 | Schedule: Tue/Thu/Sun (3x weekly) | Format: 6 main (1-49) without replacement
# One draw per line: YYYY-MM-DD  N1 N2 N3 N4 N5 N6
2026-07-23  39 38 01 36 11 26
2026-07-21  48 15 37 44 08 42
2026-07-19  02 41 15 28 37 25
2026-07-16  05 34 18 26 23 09
2026-07-14  18 11 37 22 36 17
2026-07-12  17 47 49 46 35 32
2026-07-09  44 23 21 16 36 10
2026-07-07  26 18 42 19 11 03
2026-07-05  14 15 33 40 02 34
2026-07-02  23 22 38 05 48 44
2026-06-30  26 47 05 44 10 22
2026-06-28  32 01 35 23 14 29
2026-06-25  49 19 15 46 25 36
2026-06-23  44 08 32 42 12 27
2026-06-21  44 13 27 33 24 42
2026-06-18  27 26 21 06 20 16
2026-06-16  28 20 36 33 02 17
2026-06-14  16 07 47 08 04 06
2026-06-11  40 13 14 24 08 21
2026-06-09  43 22 15 04 03 17
