# Spain El Gordo de la Primitiva — 25 most recent draws
# Source: elgordo.com 2026 archive (cross-validated with loteriasyapuestas.es official, todascasasdeapuestas.com, loteriasjesuscautivo.es)
# Accessed: 2026-07-29 | Schedule: Sun (weekly) | Format: 5 main (1-54) + 1 clave (0-9)
# One draw per line: YYYY-MM-DD  N1 N2 N3 N4 N5 | C
2026-07-26  08 22 38 39 46 | 0
2026-07-19  12 28 30 38 41 | 1
2026-07-12  06 14 28 46 53 | 6
2026-07-05  06 13 27 30 32 | 4
2026-06-28  14 27 38 41 42 | 7
2026-06-21  13 17 23 37 44 | 2
2026-06-14  12 23 29 35 50 | 7
2026-06-07  10 19 29 37 54 | 7
2026-05-31  28 29 41 45 52 | 4
2026-05-24  04 17 38 41 52 | 8
2026-05-17  02 04 10 27 50 | 9
2026-05-10  17 34 42 43 53 | 7
2026-05-03  06 30 39 49 50 | 2
2026-04-26  19 21 24 40 54 | 4
2026-04-19  02 10 37 39 47 | 2
2026-04-12  04 11 32 40 54 | 6
2026-04-05  06 18 23 39 42 | 3
2026-03-29  09 13 34 35 47 | 0
2026-03-22  11 22 28 48 51 | 4
2026-03-15  11 13 21 26 30 | 5
2026-03-08  14 26 46 48 49 | 5
2026-03-01  03 13 25 45 52 | 0
2026-02-22  24 36 41 46 53 | 8
2026-02-15  19 21 27 46 51 | 2
2026-02-08  03 16 25 41 42 | 9
