# UK Lotto — 25 most recent draws
# Source: https://www.lottery.co.uk/lotto/results/archive-2026 (cross-verified with results.co.uk, news sources)
# Accessed: 2026-08-01 | Schedule: Wed/Sat | Format: 6 main (1-59) + 1 bonus (1-59)
# Note: From 2026-06-10 UK Lotto uses a two-round format; Round 1 shown as primary draw
# One draw per line: YYYY-MM-DD  N1 N2 N3 N4 N5 N6 | Bonus
2026-07-29  5 10 22 38 56 58 | 54
2026-07-25  2 6 29 36 55 59 | 50
2026-07-22  3 9 12 23 32 53 | 46
2026-07-18  22 32 34 47 52 55 | 10
2026-07-15  4 13 14 17 23 31 | 56
2026-07-11  9 13 22 36 40 45 | 41
2026-07-08  30 35 39 45 46 53 | 37
2026-07-04  7 20 33 48 57 59 | 47
2026-07-01  13 33 35 40 43 54 | 56
2026-06-27  22 34 41 43 54 56 | 24
2026-06-24  7 8 12 23 28 43 | 10
2026-06-20  15 28 30 33 39 58 | 44
2026-06-17  26 31 36 41 45 51 | 16
2026-06-13  12 15 31 32 48 58 | 44
2026-06-10  1 12 25 29 40 41 | 16
2026-06-06  8 10 26 30 35 42 | 50
2026-06-03  7 10 20 55 57 59 | 44
2026-05-30  4 17 18 20 23 56 | 33
2026-05-27  33 36 38 46 47 50 | 35
2026-05-23  4 5 6 7 11 33 | 35
2026-05-20  9 20 24 51 52 59 | 31
2026-05-16  4 21 23 27 36 57 | 20
2026-05-13  9 12 15 16 37 39 | 14
2026-05-09  3 11 13 14 43 49 | 5
2026-05-06  7 31 33 37 39 56 | 20
