# US Mega Millions — 25 most recent draws
# Source: https://www.lottery.net/mega-millions/numbers/2026 (cross-verified with AP News, Maryland Lottery, Texas Lottery)
# Accessed: 2026-07-11 | Schedule: Tue/Fri | Format: 5 white (1-70) + 1 gold Mega Ball (1-25)
# One draw per line: YYYY-MM-DD  W1 W2 W3 W4 W5 | MegaBall
2026-07-10  2 39 44 46 56 | 23
2026-07-07  2 31 35 36 63 | 12
2026-07-03  5 9 29 47 57 | 16
2026-06-30  26 41 50 53 62 | 12
2026-06-26  5 13 30 33 52 | 6
2026-06-23  48 51 60 63 66 | 20
2026-06-19  13 16 21 26 50 | 12
2026-06-16  12 20 53 67 70 | 12
2026-06-12  9 17 24 39 51 | 3
2026-06-09  9 30 36 38 40 | 3
2026-06-05  13 30 50 52 66 | 2
2026-06-02  15 26 43 48 60 | 12
2026-05-29  19 24 47 59 65 | 7
2026-05-26  1 5 49 51 59 | 7
2026-05-22  3 22 34 54 61 | 8
2026-05-19  10 26 34 56 64 | 6
2026-05-15  17 23 25 52 61 | 3
2026-05-12  17 32 35 40 47 | 17
2026-05-08  37 47 49 51 58 | 16
2026-05-05  12 22 50 51 55 | 10
2026-05-01  16 21 27 41 61 | 24
2026-04-28  14 36 41 47 66 | 15
2026-04-24  7 16 32 35 40 | 12
2026-04-21  1 36 43 56 58 | 7
2026-04-17  38 43 44 49 62 | 8
