# US Powerball — 25 most recent draws
# Source: powerball-checker.com/results/history (cross-verified with nclottery.com, texaslottery.com)
# Accessed: 2026-07-31 | Schedule: Mon/Wed/Sat | Format: 5 white (1-69) + 1 red Powerball (1-26)
# One draw per line: YYYY-MM-DD  W1 W2 W3 W4 W5 | Powerball
2026-07-29  30 36 40 42 57 | 2
2026-07-27  6 26 46 58 65 | 25
2026-07-25  3 4 24 36 47 | 17
2026-07-22  4 5 22 50 58 | 1
2026-07-20  2 9 44 53 59 | 8
2026-07-18  9 14 44 50 56 | 3
2026-07-15  2 7 18 29 38 | 16
2026-07-13  5 25 36 40 48 | 3
2026-07-11  8 10 14 45 59 | 5
2026-07-08  12 29 37 43 55 | 18
2026-07-06  17 44 63 66 67 | 4
2026-07-04  17 38 46 50 69 | 20
2026-07-01  2 6 26 39 68 | 6
2026-06-29  10 14 41 53 59 | 3
2026-06-27  3 16 28 30 59 | 11
2026-06-24  13 14 16 21 38 | 14
2026-06-22  17 19 21 45 48 | 13
2026-06-20  16 20 44 48 50 | 15
2026-06-17  3 26 49 53 61 | 12
2026-06-15  25 55 57 60 62 | 23
2026-06-13  3 13 44 50 53 | 2
2026-06-10  12 31 38 60 66 | 14
2026-06-08  3 24 34 43 49 | 20
2026-06-06  16 32 55 59 64 | 3
2026-06-03  14 16 38 55 64 | 12
